IQ,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Prev_Sem_Result_%
107,8,No,8,8,4,Not Placed,66.1
97,8,No,7,8,0,Not Placed,55.2
109,9,No,3,1,1,Not Placed,53.6
122,6,Yes,1,6,1,Not Placed,54.7
96,7,No,8,10,2,Not Placed,79.1
96,7,No,5,8,0,Not Placed,52.6
123,5,No,7,8,2,Placed,66.8
111,7,No,3,1,2,Placed,87.7
92,9,No,7,8,5,Not Placed,64.7
108,4,No,5,9,1,Not Placed,88.2
93,2,Yes,5,6,0,Not Placed,87.3
93,8,No,5,7,4,Not Placed,62.3
103,7,Yes,8,6,1,Not Placed,86.4
71,6,No,0,5,2,Not Placed,87.4
74,7,No,0,1,2,Not Placed,69.9
91,3,No,4,2,3,Not Placed,60.5
84,6,No,0,10,0,Not Placed,76.1
104,10,Yes,9,2,4,Not Placed,96.1
86,7,No,8,9,4,Placed,82
78,7,Yes,3,6,2,Not Placed,58.6
121,5,Yes,1,3,3,Placed,84.1
96,3,Yes,2,3,3,Not Placed,71.4
101,2,Yes,8,10,0,Not Placed,79.6
78,7,Yes,10,10,2,Placed,86.7
91,4,Yes,7,2,2,Not Placed,75.7
101,2,No,2,7,2,Not Placed,90.7
82,8,No,7,1,0,Not Placed,86.1
105,2,No,3,1,4,Not Placed,80.8
90,6,Yes,5,10,1,Not Placed,57.5
95,4,Yes,3,3,3,Not Placed,91.8
90,9,Yes,10,1,4,Not Placed,96.8
127,5,No,4,3,1,Not Placed,56.8
99,4,No,9,9,4,Not Placed,74.4
84,8,No,8,7,4,Not Placed,62.9
112,3,Yes,1,9,4,Placed,87.7
81,9,Yes,8,7,4,Not Placed,86.1
103,8,Yes,2,9,2,Not Placed,57
70,8,No,4,3,4,Not Placed,93.9
80,10,Yes,6,7,1,Not Placed,59
102,5,No,1,6,1,Not Placed,89.9
111,1,No,3,2,3,Not Placed,72.8
102,10,No,0,6,5,Not Placed,66.4
98,9,No,10,3,0,Not Placed,57.9
95,2,Yes,2,2,1,Not Placed,58.4
77,1,Yes,5,5,1,Not Placed,83.1
89,6,Yes,1,5,1,Not Placed,77.5
93,1,Yes,7,2,1,Not Placed,56.1
115,10,Yes,6,3,0,Not Placed,55.6
105,10,No,2,8,0,Not Placed,53.6
73,10,Yes,0,5,5,Not Placed,87.2
104,7,No,9,8,4,Placed,85.6
94,7,Yes,3,10,5,Not Placed,52.9
89,1,Yes,3,4,1,Not Placed,78
109,10,No,10,4,1,Not Placed,54.2
115,5,No,4,6,3,Placed,95.2
113,3,No,2,10,3,Placed,95.4
87,2,No,10,5,3,Not Placed,84.9
95,5,No,1,5,3,Not Placed,96.3
104,5,No,1,9,4,Placed,90.6
114,2,Yes,7,6,2,Placed,91.4
92,6,No,6,3,3,Not Placed,78.5
97,7,No,0,4,3,Not Placed,65.3
83,1,No,8,9,0,Not Placed,60.9
82,3,No,2,6,5,Not Placed,66.4
112,4,No,2,8,1,Placed,81.4
120,2,No,0,7,4,Not Placed,58.6
98,10,Yes,10,1,1,Not Placed,62.9
115,5,Yes,3,1,2,Not Placed,73.4
105,4,No,9,10,4,Not Placed,61.7
90,2,No,10,7,2,Not Placed,79.4
105,1,Yes,1,2,1,Not Placed,96.2
123,8,No,2,9,0,Placed,87.4
99,2,No,10,10,3,Placed,83.3
123,4,No,0,9,1,Not Placed,79.1
60,10,Yes,2,2,4,Not Placed,74.4
112,5,No,3,9,3,Placed,59.3
101,2,No,5,9,4,Placed,94.7
95,10,No,2,10,2,Not Placed,62.4
101,9,Yes,10,6,4,Not Placed,54.6
70,2,No,5,5,0,Not Placed,87.5
96,6,No,1,10,2,Not Placed,58.8
105,7,No,10,2,5,Not Placed,68.6
122,6,No,7,6,5,Not Placed,51.4
92,4,No,4,9,1,Not Placed,56.9
87,1,No,0,3,3,Not Placed,58.7
92,2,No,5,3,3,Not Placed,52.7
113,10,No,2,4,0,Not Placed,82.8
104,10,Yes,3,10,4,Placed,91.9
92,6,No,9,4,1,Not Placed,68.7
107,8,Yes,7,1,5,Not Placed,93.7
101,3,Yes,7,2,4,Not Placed,60.7
114,7,No,10,6,5,Not Placed,66.3
89,9,No,7,5,4,Not Placed,57.5
95,4,Yes,4,10,0,Not Placed,81
94,7,No,0,4,5,Not Placed,71
78,7,No,8,10,2,Placed,80.7
104,10,No,10,9,5,Placed,88.1
103,9,Yes,8,2,2,Not Placed,77.3
100,3,No,7,8,0,Not Placed,81.4
96,1,Yes,10,4,0,Not Placed,96.8
78,8,Yes,2,9,0,Not Placed,65
93,4,No,5,4,4,Not Placed,68
94,2,No,6,2,5,Not Placed,85.9
87,5,No,3,6,5,Not Placed,80.6
97,4,No,9,9,4,Not Placed,58.9
106,1,Yes,6,7,1,Not Placed,68.8
128,7,No,8,1,0,Not Placed,73.4
102,4,No,5,9,4,Not Placed,71
103,8,Yes,1,6,2,Not Placed,58.9
98,9,No,5,9,5,Placed,96.2
71,8,Yes,2,2,5,Not Placed,88.1
99,1,No,6,7,0,Not Placed,74.1
100,8,Yes,2,8,2,Placed,84
136,5,No,7,8,3,Placed,94.9
97,1,Yes,10,5,1,Not Placed,56.8
104,9,Yes,10,7,3,Not Placed,62.5
99,9,No,4,7,1,Not Placed,77.1
82,7,No,2,3,0,Not Placed,90
117,7,No,0,2,5,Not Placed,51.8
111,1,No,4,5,1,Not Placed,99.2
111,9,No,9,4,4,Not Placed,72.7
86,1,Yes,9,8,2,Not Placed,68
121,7,No,10,5,5,Not Placed,64.6
78,9,No,2,9,4,Not Placed,58.7
108,9,No,3,7,0,Not Placed,89.6
132,5,No,9,1,3,Placed,97.8
85,6,No,3,2,2,Not Placed,70.7
